Time_h,VINC_0.166666667uM_rep1,VINC_0.166666667uM_rep2,VINC_0.166666667uM_rep3,VINC_0.166666667uM_rep4,VINC_0.166666667uM_rep5,VINC_0.166666667uM_mean,VINC_0.5uM_rep1,VINC_0.5uM_rep2,VINC_0.5uM_rep3,VINC_0.5uM_rep4,VINC_0.5uM_rep5,VINC_0.5uM_rep6,VINC_0.5uM_mean,VINC_1.5uM_rep1,VINC_1.5uM_rep2,VINC_1.5uM_rep3,VINC_1.5uM_rep4,VINC_1.5uM_rep5,VINC_1.5uM_rep6,VINC_1.5uM_mean,VINC_4.5uM_rep1,VINC_4.5uM_rep2,VINC_4.5uM_rep3,VINC_4.5uM_rep4,VINC_4.5uM_rep5,VINC_4.5uM_rep6,VINC_4.5uM_mean,VINC_13.5uM_rep1,VINC_13.5uM_rep2,VINC_13.5uM_rep3,VINC_13.5uM_rep4,VINC_13.5uM_rep5,VINC_13.5uM_rep6,VINC_13.5uM_rep7,VINC_13.5uM_mean,DMSO_rep1,DMSO_rep2,DMSO_rep3,DMSO_rep4,DMSO_rep5,DMSO_rep6,DMSO_rep7,DMSO_rep8,DMSO_rep9,DMSO_rep10,DMSO_rep11,DMSO_rep12,DMSO_rep13,DMSO_rep14,DMSO_rep15,DMSO_rep16,DMSO_rep17,DMSO_mean
33.0,5.5,11.9,11.4,29.1,17.2,15.02,,12.2,16.9,18.9,26.3,15.6,17.979999999999997,19.4,28.6,15.8,30.7,,10.2,20.94,,,24.9,,26.8,13.0,21.566666666666666,19.8,26.9,25.3,26.0,,40.7,38.8,29.583333333333332,52.4,14.5,5.5,4.3,11.5,7.0,7.5,8.8,,9.0,38.6,8.3,7.1,18.5,10.6,,34.6,15.879999999999999
34.0,8.2,10.2,11.9,26.7,16.0,14.6,,11.3,18.4,24.2,26.2,17.7,19.56,19.8,32.2,19.1,33.9,,10.7,23.14,,,25.9,,27.6,15.9,23.133333333333336,21.0,28.1,26.0,26.6,,43.3,38.8,30.633333333333336,52.5,12.2,5.2,4.6,11.8,9.2,10.7,5.7,4.2,9.6,42.7,6.1,5.9,20.4,12.1,,32.4,15.33125
35.0,6.4,11.9,12.2,26.2,17.8,14.9,,13.9,20.5,20.3,27.0,19.7,20.28,20.6,32.1,20.7,35.3,,12.5,24.240000000000002,,,26.7,,28.7,13.8,23.066666666666666,22.0,29.0,25.9,28.2,,43.5,39.1,31.283333333333335,52.5,17.2,7.5,4.1,10.2,8.7,5.9,5.8,6.7,7.2,41.3,5.7,7.1,16.6,10.7,,29.2,14.774999999999999
36.0,8.1,11.0,13.5,25.5,17.7,15.16,,12.6,22.3,25.3,29.7,19.8,21.94,21.9,32.7,20.1,37.4,,12.9,25.0,,,26.6,,30.6,15.5,24.233333333333334,24.6,29.8,24.9,21.7,,43.1,38.5,30.433333333333337,52.7,14.0,5.5,6.8,9.6,5.8,7.6,6.8,5.4,7.3,,6.5,5.6,17.1,9.9,,35.4,13.066666666666666
37.0,6.9,10.4,12.3,26.2,18.8,14.919999999999998,,12.9,21.5,22.6,31.3,20.7,21.8,24.1,36.3,20.3,34.8,,12.8,25.660000000000004,,,30.4,,31.5,16.1,26.0,23.5,30.3,27.1,27.0,,40.6,40.8,31.55,51.6,12.7,8.0,4.6,11.5,8.4,9.6,6.0,5.6,6.7,37.4,5.5,5.2,16.9,9.3,,35.5,14.65625
38.0,6.6,12.1,13.1,27.6,18.7,15.62,,13.1,24.2,26.7,31.2,19.8,23.0,22.4,31.7,20.0,36.4,,15.5,25.2,,,28.0,,31.6,15.2,24.933333333333334,24.3,30.9,27.4,23.8,34.6,42.5,40.6,32.01428571428571,51.2,13.2,4.3,5.2,10.4,6.9,8.1,5.8,5.8,9.0,38.8,8.2,6.1,15.5,9.1,,30.0,14.225
39.0,9.2,12.5,12.5,26.3,,15.125,,13.9,23.7,27.2,33.8,21.8,24.08,25.4,35.3,22.6,37.9,,16.5,27.54,,,27.5,,31.4,16.1,25.0,,30.9,26.7,27.5,,43.9,42.1,34.22,51.6,13.5,6.2,5.6,10.5,5.5,9.9,7.1,5.5,,,6.2,6.4,17.7,7.3,,29.8,13.057142857142859
40.0,7.5,11.0,13.8,31.3,19.9,16.7,,15.7,27.1,27.2,33.7,22.0,25.14,26.5,37.6,22.7,38.0,,19.2,28.8,,,28.6,,33.6,17.3,26.5,25.6,32.3,27.3,28.3,,39.8,42.6,32.65,51.7,14.3,7.1,4.4,12.5,8.0,10.2,3.1,4.3,9.5,39.3,6.0,6.6,16.1,7.4,,34.1,14.6625
41.0,7.4,11.4,14.5,30.6,17.9,16.36,,14.7,24.6,25.6,35.5,24.3,24.94,26.2,,19.8,43.3,,14.5,25.95,,,28.4,,34.0,18.2,26.866666666666664,25.7,32.5,26.2,32.2,,43.4,44.0,34.0,50.6,13.1,,4.8,9.9,7.3,8.4,5.2,7.4,6.8,38.5,7.2,5.4,17.1,10.3,,33.9,15.06
42.0,7.7,12.2,15.2,30.4,18.6,16.82,,16.3,24.8,27.1,34.3,23.5,25.2,29.2,38.9,21.9,40.3,,11.4,28.340000000000003,,,30.7,,30.6,17.3,26.2,25.6,33.4,27.0,33.7,,44.6,41.3,34.26666666666667,52.2,12.2,5.7,4.8,11.0,7.5,7.9,8.5,6.9,9.1,36.4,6.1,3.8,17.2,8.4,,30.0,14.23125
43.0,10.3,12.7,15.0,30.2,18.3,17.3,,15.1,29.1,30.1,32.9,27.1,26.860000000000003,28.9,38.1,23.8,40.5,,17.5,29.76,,,28.8,,33.7,19.5,27.333333333333332,22.2,34.6,27.0,30.2,,41.7,42.1,32.96666666666666,49.8,9.9,5.7,4.2,9.7,7.0,8.4,3.0,5.2,9.1,38.6,7.8,4.3,14.6,8.8,,25.6,13.231250000000001
44.0,7.9,12.9,15.8,30.7,20.9,17.639999999999997,,16.9,27.3,30.3,38.8,27.2,28.1,30.1,39.7,24.1,43.3,,17.3,30.9,,,28.8,,32.2,18.8,26.599999999999998,25.3,33.9,27.5,31.0,,43.2,,32.18,51.2,12.6,7.6,5.1,9.5,6.5,4.3,9.4,6.7,8.4,37.6,6.6,7.1,18.3,7.2,,31.4,14.34375
45.0,8.9,13.4,14.8,32.8,22.7,18.520000000000003,,16.1,31.0,32.9,37.6,27.1,28.939999999999998,32.6,40.3,23.2,41.1,,14.4,30.320000000000004,,,28.5,,37.0,18.2,27.900000000000002,28.3,34.4,27.2,29.2,,44.9,44.3,34.71666666666667,51.4,10.9,7.0,4.6,9.0,5.9,7.2,6.4,5.6,5.7,37.0,5.5,5.6,16.1,7.3,,31.0,13.5125
46.0,9.1,14.1,15.7,30.4,19.9,17.839999999999996,,16.5,33.7,,40.9,28.3,29.849999999999998,34.0,39.1,22.8,40.4,,17.2,30.699999999999996,,,30.4,,39.7,22.2,30.766666666666666,25.1,34.7,27.4,25.0,,,46.7,31.78,49.8,11.3,6.4,5.4,10.1,7.4,11.0,6.2,4.8,7.4,36.4,7.9,5.9,17.8,8.3,,30.4,14.15625
47.0,8.0,11.8,17.0,32.8,20.6,18.04,,18.2,32.8,34.9,38.3,29.4,30.72,35.4,42.7,24.0,44.8,,19.5,33.279999999999994,,,32.6,,36.6,19.9,29.7,25.1,35.4,27.1,30.8,,43.1,47.6,34.85,49.5,8.4,5.7,5.6,9.5,7.4,8.7,3.5,4.3,6.5,35.2,7.0,5.7,18.6,8.6,,32.0,13.512500000000001
48.0,8.1,14.9,17.5,29.4,21.8,18.34,,19.5,30.4,34.8,45.0,28.9,31.72,34.3,41.8,25.1,44.3,,19.3,32.96,,,28.4,,40.0,20.7,29.700000000000003,27.5,35.5,27.8,24.7,,45.4,49.4,35.050000000000004,48.6,8.2,3.6,5.1,9.8,5.3,6.8,7.7,5.5,6.0,32.6,6.8,4.6,16.1,8.1,,23.8,12.412500000000001
49.0,7.4,13.3,17.2,31.0,22.2,18.220000000000002,,18.5,39.4,35.5,44.0,28.5,33.18,36.2,41.2,28.4,,,18.8,31.150000000000002,,,32.0,,35.3,22.7,30.0,27.7,36.8,27.8,,,43.4,46.8,36.5,49.8,8.1,5.7,5.2,9.7,,8.0,2.5,3.9,5.4,33.9,7.1,6.4,13.0,8.1,,28.2,13.0
50.0,7.3,,17.2,34.3,,19.599999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,10.3,7.0,5.1,,6.0,,6.9,5.8,,32.6,6.1,,,,,,14.199999999999998
51.0,,,,48.1,,48.1,,,,,61.2,,61.2,,58.5,,,,,58.5,,,,,,35.0,35.0,,49.1,,,,56.0,54.2,53.1,,,,,,,,,18.5,,42.2,,25.8,26.1,,29.5,,28.419999999999998
52.0,17.2,24.8,,,34.7,25.566666666666666,,28.3,46.0,46.0,,43.9,41.05,46.9,48.0,,47.1,30.9,,43.225,,,42.7,,,28.4,35.55,36.8,43.1,36.9,39.5,,53.0,49.0,43.050000000000004,47.6,22.8,14.8,16.8,17.6,10.9,18.3,6.0,10.0,18.6,29.3,18.0,9.3,19.5,,12.7,,18.146666666666665
53.0,15.9,27.0,25.1,42.4,34.3,28.939999999999998,,30.2,41.7,47.8,54.2,45.6,43.9,42.8,48.0,,,,27.7,39.5,,,38.0,,,27.2,32.6,35.1,43.4,36.6,46.8,,48.8,48.0,43.11666666666667,47.7,17.2,11.6,16.9,17.1,12.0,13.7,6.2,11.1,10.5,27.7,14.0,9.6,16.7,9.8,12.8,,15.9125
54.0,14.1,26.4,24.8,44.7,37.3,29.46,,32.9,43.2,47.8,57.2,42.7,44.760000000000005,44.0,48.4,,46.4,34.1,26.4,39.86,,,38.4,,,28.7,33.55,36.1,43.4,35.4,44.5,,50.6,48.5,43.083333333333336,48.0,19.8,12.5,14.4,17.9,12.1,14.2,5.9,8.7,16.1,28.0,12.6,8.2,17.5,9.2,10.2,,15.95625
55.0,14.2,28.5,23.7,46.8,37.8,30.2,,35.6,44.4,50.3,54.8,46.9,46.400000000000006,50.3,47.9,,48.0,33.2,30.3,41.94,,,41.8,,,28.6,35.2,38.4,43.9,37.0,40.0,,44.4,50.0,42.28333333333334,48.0,17.4,9.7,13.1,20.0,12.6,8.2,6.1,10.5,14.9,33.2,13.3,9.0,16.3,10.2,12.9,,15.962500000000002
56.0,15.6,30.4,25.6,43.3,36.0,30.179999999999996,,35.2,48.6,,58.2,44.8,46.7,48.6,51.0,,47.5,38.4,29.7,43.04,,,38.1,,,29.1,33.6,37.9,44.7,36.7,40.8,,51.9,48.8,43.46666666666667,49.3,17.7,10.4,10.8,18.2,12.7,13.0,5.7,9.6,13.5,31.2,12.6,7.2,17.7,9.0,,,15.906666666666665
57.0,15.9,29.1,26.8,48.4,40.6,32.16,,33.2,48.6,51.1,55.6,47.7,47.239999999999995,48.1,49.9,,47.8,36.3,31.6,42.74,,,40.0,,,28.6,34.3,40.3,44.8,36.8,47.2,,48.3,52.4,44.96666666666666,50.3,18.3,7.6,10.1,18.1,10.4,11.2,7.9,9.5,10.7,31.9,10.8,8.7,17.2,10.4,10.4,,15.21875
