Target_Time_h,Actual_Time_h,Drug,Concentration_uM,Replicate,Column,O2_Percent
12,12.0,PLICA,0.003333333,8,PLICA_0.003333333_8,4.9
12,12.0,PLICA,0.01,3,PLICA_0.01_3,5.6
12,12.0,PLICA,0.01,4,PLICA_0.01_4,7.2
12,12.0,PLICA,0.01,5,PLICA_0.01_5,3.2
12,12.0,PLICA,0.01,6,PLICA_0.01_6,2.6
12,12.0,PLICA,0.03,1,PLICA_0.03_1,13.7
12,12.0,PLICA,0.03,2,PLICA_0.03_2,7.6
12,12.0,PLICA,0.03,3,PLICA_0.03_3,5.5
12,12.0,PLICA,0.03,4,PLICA_0.03_4,10.3
12,12.0,PLICA,0.03,5,PLICA_0.03_5,5.6
12,12.0,PLICA,0.03,6,PLICA_0.03_6,16.8
12,12.0,PLICA,0.03,8,PLICA_0.03_8,6.2
12,12.0,PLICA,0.09,1,PLICA_0.09_1,12.5
12,12.0,PLICA,0.09,2,PLICA_0.09_2,9.0
12,12.0,PLICA,0.09,3,PLICA_0.09_3,5.7
12,12.0,PLICA,0.09,4,PLICA_0.09_4,13.0
12,12.0,PLICA,0.09,5,PLICA_0.09_5,6.5
12,12.0,PLICA,0.09,6,PLICA_0.09_6,6.3
12,12.0,PLICA,0.09,7,PLICA_0.09_7,10.2
12,12.0,VINC,0.166666667,1,VINC_0.166666667_1,10.5
12,12.0,VINC,0.166666667,2,VINC_0.166666667_2,11.1
12,12.0,VINC,0.166666667,3,VINC_0.166666667_3,10.2
12,12.0,VINC,0.166666667,4,VINC_0.166666667_4,22.0
12,12.0,VINC,0.166666667,5,VINC_0.166666667_5,16.0
12,12.0,VINC,0.5,1,VINC_0.5_1,8.5
12,12.0,VINC,0.5,2,VINC_0.5_2,12.6
12,12.0,VINC,0.5,3,VINC_0.5_3,13.2
12,12.0,VINC,0.5,4,VINC_0.5_4,17.9
12,12.0,VINC,0.5,5,VINC_0.5_5,16.1
12,12.0,VINC,0.5,6,VINC_0.5_6,13.6
12,12.0,VINC,1.5,1,VINC_1.5_1,8.9
12,12.0,VINC,1.5,2,VINC_1.5_2,18.0
12,12.0,VINC,1.5,3,VINC_1.5_3,9.5
12,12.0,VINC,1.5,5,VINC_1.5_5,10.6
12,12.0,VINC,1.5,6,VINC_1.5_6,17.1
12,12.0,VINC,4.5,2,VINC_4.5_2,11.7
12,12.0,VINC,4.5,3,VINC_4.5_3,22.8
12,12.0,VINC,4.5,4,VINC_4.5_4,27.3
12,12.0,VINC,4.5,5,VINC_4.5_5,20.9
12,12.0,VINC,4.5,6,VINC_4.5_6,5.2
12,12.0,VINC,13.5,2,VINC_13.5_2,17.2
12,12.0,VINC,13.5,3,VINC_13.5_3,19.4
12,12.0,VINC,13.5,4,VINC_13.5_4,12.3
12,12.0,VINC,13.5,5,VINC_13.5_5,15.4
12,12.0,VINC,13.5,6,VINC_13.5_6,18.3
12,12.0,VINC,13.5,7,VINC_13.5_7,26.3
12,12.0,DMSO,0.011111111,1,DMSO_0.011111111_1,52.4
12,12.0,DMSO,0.011111111,2,DMSO_0.011111111_2,17.1
12,12.0,DMSO,0.011111111,3,DMSO_0.011111111_3,9.8
12,12.0,DMSO,0.033333333,1,DMSO_0.033333333_1,7.5
12,12.0,DMSO,0.033333333,2,DMSO_0.033333333_2,16.4
12,12.0,DMSO,0.033333333,3,DMSO_0.033333333_3,9.9
12,12.0,DMSO,0.1,1,DMSO_0.1_1,8.3
12,12.0,DMSO,0.1,2,DMSO_0.1_2,6.6
12,12.0,DMSO,0.1,3,DMSO_0.1_3,8.6
12,12.0,DMSO,0.1,5,DMSO_0.1_5,39.1
12,12.0,DMSO,0.1,6,DMSO_0.1_6,7.5
12,12.0,DMSO,0.3,1,DMSO_0.3_1,9.7
12,12.0,DMSO,0.3,2,DMSO_0.3_2,24.5
12,12.0,DMSO,0.3,3,DMSO_0.3_3,14.1
12,12.0,DMSO,0.3,4,DMSO_0.3_4,15.7
24,24.0,DACTI,0.002222222,1,DACTI_0.002222222_1,17.4
24,24.0,DACTI,0.002222222,2,DACTI_0.002222222_2,25.7
24,24.0,DACTI,0.006666667,1,DACTI_0.006666667_1,7.6
24,24.0,DACTI,0.006666667,2,DACTI_0.006666667_2,57.3
24,24.0,DACTI,0.006666667,3,DACTI_0.006666667_3,4.2
24,24.0,DACTI,0.006666667,4,DACTI_0.006666667_4,22.1
24,24.0,DACTI,0.02,1,DACTI_0.02_1,9.7
24,24.0,DACTI,0.02,2,DACTI_0.02_2,16.2
24,24.0,DACTI,0.02,3,DACTI_0.02_3,14.1
24,24.0,DACTI,0.02,4,DACTI_0.02_4,9.1
24,24.0,DACTI,0.06,1,DACTI_0.06_1,75.6
24,24.0,DACTI,0.06,2,DACTI_0.06_2,33.0
24,24.0,DACTI,0.06,3,DACTI_0.06_3,30.0
24,24.0,DACTI,0.06,4,DACTI_0.06_4,17.8
24,24.0,DACTI,0.18,1,DACTI_0.18_1,70.5
24,24.0,DACTI,0.18,2,DACTI_0.18_2,52.1
24,24.0,DACTI,0.18,3,DACTI_0.18_3,38.1
24,24.0,GEMCI,0.555555556,1,GEMCI_0.555555556_1,7.9
24,24.0,GEMCI,0.555555556,3,GEMCI_0.555555556_3,2.5
24,24.0,GEMCI,0.555555556,4,GEMCI_0.555555556_4,28.8
24,24.0,GEMCI,1.666666667,1,GEMCI_1.666666667_1,12.3
24,24.0,GEMCI,1.666666667,2,GEMCI_1.666666667_2,9.6
24,24.0,GEMCI,1.666666667,3,GEMCI_1.666666667_3,7.2
24,24.0,GEMCI,1.666666667,5,GEMCI_1.666666667_5,8.2
24,24.0,GEMCI,1.666666667,6,GEMCI_1.666666667_6,7.1
24,24.0,GEMCI,1.666666667,7,GEMCI_1.666666667_7,8.1
24,24.0,GEMCI,5.0,1,GEMCI_5.0_1,5.7
24,24.0,GEMCI,5.0,3,GEMCI_5.0_3,2.6
24,24.0,GEMCI,5.0,4,GEMCI_5.0_4,4.3
24,24.0,GEMCI,5.0,5,GEMCI_5.0_5,14.8
24,24.0,GEMCI,5.0,6,GEMCI_5.0_6,13.4
24,24.0,GEMCI,15.0,2,GEMCI_15.0_2,14.3
24,24.0,GEMCI,15.0,4,GEMCI_15.0_4,6.7
24,24.0,GEMCI,15.0,6,GEMCI_15.0_6,4.5
24,24.0,GEMCI,15.0,7,GEMCI_15.0_7,5.0
24,24.0,GEMCI,15.0,8,GEMCI_15.0_8,6.3
24,24.0,GEMCI,45.0,1,GEMCI_45.0_1,3.6
24,24.0,GEMCI,45.0,2,GEMCI_45.0_2,7.3
24,24.0,GEMCI,45.0,3,GEMCI_45.0_3,3.1
24,24.0,GEMCI,45.0,4,GEMCI_45.0_4,5.7
24,24.0,GEMCI,45.0,6,GEMCI_45.0_6,77.3
24,24.0,GEMCI,45.0,7,GEMCI_45.0_7,7.8
24,24.0,PLICA,0.001111111,1,PLICA_0.001111111_1,5.8
24,24.0,PLICA,0.001111111,3,PLICA_0.001111111_3,8.1
24,24.0,PLICA,0.001111111,4,PLICA_0.001111111_4,14.6
24,24.0,PLICA,0.003333333,1,PLICA_0.003333333_1,4.2
24,24.0,PLICA,0.003333333,5,PLICA_0.003333333_5,4.2
24,24.0,PLICA,0.003333333,6,PLICA_0.003333333_6,11.9
24,24.0,PLICA,0.003333333,8,PLICA_0.003333333_8,4.6
24,24.0,PLICA,0.01,3,PLICA_0.01_3,4.3
24,24.0,PLICA,0.01,4,PLICA_0.01_4,7.7
24,24.0,PLICA,0.01,5,PLICA_0.01_5,4.8
24,24.0,PLICA,0.01,6,PLICA_0.01_6,6.9
24,24.0,PLICA,0.03,1,PLICA_0.03_1,9.8
24,24.0,PLICA,0.03,3,PLICA_0.03_3,7.6
24,24.0,PLICA,0.03,4,PLICA_0.03_4,8.6
24,24.0,PLICA,0.03,5,PLICA_0.03_5,4.5
24,24.0,PLICA,0.03,6,PLICA_0.03_6,13.7
24,24.0,PLICA,0.03,8,PLICA_0.03_8,5.3
24,24.0,PLICA,0.09,1,PLICA_0.09_1,11.5
24,24.0,PLICA,0.09,2,PLICA_0.09_2,9.7
24,24.0,PLICA,0.09,3,PLICA_0.09_3,8.2
24,24.0,PLICA,0.09,5,PLICA_0.09_5,5.6
24,24.0,PLICA,0.09,6,PLICA_0.09_6,8.2
24,24.0,PLICA,0.09,7,PLICA_0.09_7,7.7
24,24.0,VINC,0.166666667,1,VINC_0.166666667_1,7.4
24,24.0,VINC,0.166666667,2,VINC_0.166666667_2,10.5
24,24.0,VINC,0.166666667,3,VINC_0.166666667_3,10.4
24,24.0,VINC,0.166666667,4,VINC_0.166666667_4,24.5
24,24.0,VINC,0.166666667,5,VINC_0.166666667_5,15.7
24,24.0,VINC,0.5,1,VINC_0.5_1,11.0
24,24.0,VINC,0.5,2,VINC_0.5_2,13.3
24,24.0,VINC,0.5,4,VINC_0.5_4,14.3
24,24.0,VINC,0.5,5,VINC_0.5_5,21.6
24,24.0,VINC,0.5,6,VINC_0.5_6,12.6
24,24.0,VINC,1.5,1,VINC_1.5_1,11.0
24,24.0,VINC,1.5,2,VINC_1.5_2,22.8
24,24.0,VINC,1.5,3,VINC_1.5_3,12.9
24,24.0,VINC,1.5,4,VINC_1.5_4,28.7
24,24.0,VINC,4.5,3,VINC_4.5_3,24.1
24,24.0,VINC,4.5,4,VINC_4.5_4,33.4
24,24.0,VINC,4.5,5,VINC_4.5_5,23.6
